name,cuisine,servings,prep_time,cook_time,total_time,family,ingredients_str,steps_str,ingredient_set
Kare-Kare,Filipino,6,30 mins,180 mins,210 mins,stew,"Oxtail: 1 kg;Peanut Butter: 1 cup;Eggplant: 2;String Beans: 2 cups;Bok Choy: 1 bundle;Banana Blossom: 1;Garlic: 6 cloves;Onion: 1;Anatto Water: 1/2 cup;Rice Flour: 2 tbsp;Water: 8 cups;Shrimp Paste: to serve","1. Boil oxtail in water for 2-3 hours until tender.;2. Sauté garlic and onion.;3. Add oxtail and 4 cups broth.;4. Stir in peanut butter and rice flour.;5. Add annatto water for color.;6. Add vegetables and cook until tender.;7. Serve with shrimp paste.","['oxtail','peanut butter','eggplant','string beans','bok choy','banana blossom','garlic','onion','annatto water','rice flour','water','shrimp paste']"
Pancit Canton,Filipino,6,20 mins,15 mins,35 mins,noodles,"Pancit Canton Noodles: 500g;Pork: 200g;Shrimp: 1 cup;Cabbage: 2 cups;Carrots: 1 cup;Celery: 1 cup;Snow Peas: 1 cup;Onion: 1;Garlic: 4 cloves;Oyster Sauce: 3 tbsp;Soy Sauce: 2 tbsp;Chicken Broth: 2 cups;Oil: 3 tbsp","1. Soak noodles in warm water.;2. Sauté garlic, onion, pork, and shrimp.;3. Add vegetables and stir-fry.;4. Add broth, oyster sauce, and soy sauce.;5. Add noodles and cook until liquid is absorbed.;6. Serve hot.","['pancit canton noodles','pork','shrimp','cabbage','carrots','celery','snow peas','onion','garlic','oyster sauce','soy sauce','chicken broth','oil']"
Paksiw na Isda,Filipino,4,10 mins,20 mins,30 mins,paksiw,"Fish: 4 pieces;Ginger: 1 thumb;Garlic: 6 cloves;Onions: 1;Eggplant: 1;Chili Peppers: 3 pieces;Vinegar: 1/2 cup;Water: 1 cup;Fish Sauce: 2 tbsp;Pepper: 1 tsp","1. Layer ginger, garlic, and onion in pot.;2. Place fish on top.;3. Add eggplant and chili peppers.;4. Pour vinegar, water, and fish sauce. DO NOT STIR.;5. Bring to boil, simmer 15 minutes.;6. Season with pepper and serve.","['fish','ginger','garlic','onions','eggplant','chili peppers','vinegar','water','fish sauce','pepper']"
Menudo,Filipino,6,20 mins,60 mins,80 mins,stew,"Pork: 500g cubed;Liver: 200g;Potatoes: 3;Carrots: 2;Raisins: 1/4 cup;Green Peas: 1/2 cup;Tomato Sauce: 1 cup;Garlic: 4 cloves;Onion: 1;Fish Sauce: 1 tbsp;Oil: 2 tbsp","1. Sauté garlic and onion.;2. Brown pork and liver.;3. Add tomato sauce and water, simmer 40 mins.;4. Add potatoes and carrots, cook 15 mins.;5. Add raisins and green peas, cook 5 mins.;6. Serve hot.","['pork','liver','potatoes','carrots','raisins','green peas','tomato sauce','garlic','onion','fish sauce','oil']"
Afritada,Filipino,6,15 mins,60 mins,75 mins,stew,"Chicken: 1 kg;Potatoes: 3;Carrots: 2;Bell Pepper: 1;Tomato Sauce: 1.5 cups;Garlic: 4 cloves;Onion: 1;Fish Sauce: 1 tbsp;Oil: 2 tbsp","1. Sauté garlic and onion.;2. Brown chicken pieces.;3. Add tomato sauce and water, simmer 30 mins.;4. Add potatoes and carrots, cook 20 mins.;5. Add bell pepper, cook 5 mins.;6. Serve with rice.","['chicken','potatoes','carrots','bell pepper','tomato sauce','garlic','onion','fish sauce','oil']"
Mechado,Filipino,6,20 mins,120 mins,140 mins,stew,"Beef: 1.5 kg;Potatoes: 3;Carrots: 2;Tomato Sauce: 2 cups;Soy Sauce: 1/4 cup;Bay Leaves: 3;Garlic: 6 cloves;Onion: 1;Oil: 3 tbsp","1. Brown beef in oil.;2. Sauté garlic and onion.;3. Add tomato sauce, soy sauce, bay leaves, and water.;4. Simmer 90 mins until beef is tender.;5. Add potatoes and carrots, cook 20 mins.;6. Serve hot.","['beef','potatoes','carrots','tomato sauce','soy sauce','bay leaves','garlic','onion','oil']"
Bulalo,Filipino,6,15 mins,180 mins,195 mins,soup,"Beef Shanks: 1.5 kg;Corn: 3 ears;Cabbage: 1/2 head;Potatoes: 3;Onions: 2;Peppercorns: 1 tbsp;Fish Sauce: 2 tbsp","1. Boil beef shanks in water for 2 hours.;2. Add onions and peppercorns.;3. Add corn, cook 30 mins.;4. Add potatoes, cook 20 mins.;5. Add cabbage and fish sauce, cook 5 mins.;6. Serve hot.","['beef shanks','corn','cabbage','potatoes','onions','peppercorns','fish sauce']"
Batchoy,Ilonggo,4,20 mins,30 mins,50 mins,noodle soup,"Noodles: 400g;Pork: 300g;Liver: 200g;Shrimp: 1/2 cup;Garlic: 8 cloves;Onion: 1;Chicken Broth: 8 cups;Egg: 4;Spring Onions: for garnish","1. Sauté garlic until golden, set aside for topping.;2. Sauté onion, pork, and liver.;3. Add broth and simmer 20 mins.;4. Cook noodles separately.;5. Assemble: noodles in bowl, pour hot soup, top with egg, garlic, and spring onions.;6. Serve immediately.","['noodles','pork','liver','shrimp','garlic','onion','chicken broth','egg','spring onions']"
Arroz Caldo,Filipino,6,15 mins,60 mins,75 mins,rice porridge,"Chicken: 1 kg;Rice: 2 cups;Ginger: 2 thumbs;Garlic: 8 cloves;Onion: 1;Fish Sauce: 2 tbsp;Safflower: 1 tsp;Spring Onions: for garnish","1. Sauté ginger, garlic, and onion.;2. Add chicken and brown.;3. Add rice and stir for 2 mins.;4. Add water and safflower, simmer 45 mins.;5. Season with fish sauce.;6. Garnish with spring onions and fried garlic.","['chicken','rice','ginger','garlic','onion','fish sauce','safflower','spring onions']"
Lugaw,Filipino,6,10 mins,45 mins,55 mins,rice porridge,"Rice: 2 cups;Ginger: 1 thumb;Garlic: 4 cloves;Chicken Broth: 10 cups;Spring Onions: for garnish;Fried Garlic: for topping","1. Sauté ginger and garlic.;2. Add rice and stir.;3. Add chicken broth and simmer 40 mins until thick.;4. Season with fish sauce or salt.;5. Garnish with spring onions and fried garlic.;6. Serve hot.","['rice','ginger','garlic','chicken broth','spring onions','fried garlic']"
Champorado,Filipino,4,5 mins,25 mins,30 mins,dessert porridge,"Rice: 1 cup;Cocoa: 1/2 cup;Sugar: 1/2 cup;Water: 5 cups;Evaporated Milk: for serving","1. Wash rice.;2. In pot, combine rice, cocoa, and water.;3. Bring to boil then simmer 20 mins.;4. Stir in sugar until dissolved.;5. Cook until thick.;6. Serve hot with evaporated milk.","['rice','cocoa','sugar','water','evaporated milk']"
Biko,Filipino,8,20 mins,60 mins,80 mins,kakanin,"Glutinous Rice: 2 cups;Coconut Milk: 4 cups;Brown Sugar: 2 cups;Latik: for topping","1. Cook rice with 2 cups coconut milk.;2. In another pan, caramelize sugar with remaining coconut milk.;3. Combine cooked rice with caramel sauce.;4. Transfer to banana leaf-lined tray.;5. Top with latik.;6. Cool and slice.","['glutinous rice','coconut milk','brown sugar','latik']"
Sapin-Sapin,Filipino,8,30 mins,45 mins,75 mins,kakanin,"Glutinous Rice Flour: 3 cups;Coconut Milk: 4 cups;Sugar: 2 cups;Ube: 1 cup;Langka: 1/2 cup;Food Coloring: purple & yellow","1. Mix rice flour, coconut milk, and sugar.;2. Divide into 3 portions.;3. Add ube to first, langka to second, food coloring to third.;4. Steam first layer 15 mins, then second, then third.;5. Cool completely.;6. Slice and serve with latik.","['glutinous rice flour','coconut milk','sugar','ube','langka','food coloring']"
Lechon Paksiw,Filipino,6,10 mins,30 mins,40 mins,paksiw,"Lechon: 500g;Vinegar: 1 cup;Sugar: 1/4 cup;Soy Sauce: 1/4 cup;Garlic: 8 cloves;Peppercorns: 1 tbsp;Bay Leaves: 3","1. Combine all ingredients in pot.;2. Bring to boil, then simmer 25 mins.;3. DO NOT STIR.;4. Sauce will thicken.;5. Adjust sweetness if needed.;6. Serve with rice.","['lechon','vinegar','sugar','soy sauce','garlic','peppercorns','bay leaves']"
Dinuguan,Filipino,6,20 mins,60 mins,80 mins,stew,"Pork: 1 kg;Vinegar: 1/2 cup;Pork Blood: 2 cups;Garlic: 6 cloves;Onion: 1;Chili Peppers: 5 pieces;Fish Sauce: 2 tbsp","1. Sauté garlic and onion.;2. Brown pork.;3. Add vinegar, DO NOT STIR for 5 mins.;4. Add water and simmer 30 mins.;5. Stir in pork blood slowly.;6. Add chilies and cook until thick.","['pork','vinegar','pork blood','garlic','onion','chili peppers','fish sauce']"
Crispy Pata,Filipino,6,240 mins,60 mins,300 mins,fried,"Pork Leg: 1 whole;Garlic: 1 head;Bay Leaves: 5;Peppercorns: 2 tbsp;Oil: for deep frying","1. Boil pork with garlic, bay leaves, and peppercorns for 3 hours.;2. Drain and dry completely.;3. Deep fry until golden and crispy.;4. Drain excess oil.;5. Serve with soy-vinegar dip.;6. Carve at table.","['pork leg','garlic','bay leaves','peppercorns','oil']"
Sisig,Kapampangan,4,30 mins,20 mins,50 mins,sizzling plate,"Pork Face: 500g;Liver: 200g;Onion: 1;Chili Peppers: 5 pieces;Calamansi: 6 pieces;Mayonnaise: 1/4 cup;Egg: 1","1. Boil pork face and liver until tender.;2. Grill then chop finely.;3. Sauté onion and chilies.;4. Add chopped pork and liver.;5. Add calamansi juice and mayonnaise.;6. Top with egg on sizzling plate.","['pork face','liver','onion','chili peppers','calamansi','mayonnaise','egg']"
Tokwa't Baboy,Filipino,4,15 mins,20 mins,35 mins,appetizer,"Tofu: 4 blocks;Pork Ears: 300g;Onion: 1;Soy Sauce: 1/4 cup;Vinegar: 1/4 cup;Sugar: 1 tbsp;Garlic: 4 cloves","1. Boil pork ears until tender, slice.;2. Fry tofu until golden, cube.;3. Combine soy sauce, vinegar, sugar, and garlic for sauce.;4. Mix tofu and pork ears with onion.;5. Pour sauce over.;6. Serve cold or at room temperature.","['tofu','pork ears','onion','soy sauce','vinegar','sugar','garlic']"
Pork Barbecue,Filipino,6,60 mins,20 mins,80 mins,inihaw,"Pork Shoulder: 1 kg;Soy Sauce: 1/2 cup;Kalamansi: 10 pieces;Sugar: 1/4 cup;Garlic: 8 cloves;Banana Ketchup: 1/4 cup","1. Slice pork into thin strips.;2. Mix marinade: soy sauce, kalamansi, sugar, garlic, ketchup.;3. Marinate pork 1 hour.;4. Skewer meat.;5. Grill over charcoal 15-20 mins.;6. Baste with marinade while grilling.","['pork shoulder','soy sauce','kalamansi','sugar','garlic','banana ketchup']"
Bistek Tagalog,Filipino,4,15 mins,20 mins,35 mins,beef dish,"Beef Sirloin: 500g;Soy Sauce: 1/2 cup;Calamansi: 8 pieces;Onions: 2;Garlic: 4 cloves;Oil: 2 tbsp","1. Marinate beef in soy sauce and calamansi for 30 mins.;2. Sauté garlic and onions, set aside.;3. Fry beef quickly in hot oil.;4. Add marinade and simmer 10 mins.;5. Add back onions.;6. Serve with rice.","['beef sirloin','soy sauce','calamansi','onions','garlic','oil']"
Beef Morcon,Filipino,8,45 mins,120 mins,165 mins,rolled meat,"Beef Round: 1 large slice;Ham: 200g;Hotdogs: 4;Pickles: 1/4 cup;Cheese: 200g;Carrots: 2;Tomato Sauce: 2 cups","1. Flatten beef slice.;2. Layer ham, hotdogs, pickles, cheese, carrots.;3. Roll tightly and tie with string.;4. Brown in oil.;5. Simmer in tomato sauce for 2 hours.;6. Slice and serve with sauce.","['beef round','ham','hotdogs','pickles','cheese','carrots','tomato sauce']"
Pancit Malabon,Filipino,6,30 mins,20 mins,50 mins,noodles,"Thick Noodles: 500g;Shrimp: 2 cups;Squid: 300g;Pork: 200g;Shrimp Sauce: 1 cup;Atsuete Oil: 1/4 cup;Spring Onions: for garnish","1. Cook noodles according to package.;2. Sauté pork, shrimp, and squid.;3. Add shrimp sauce and atsuete oil.;4. Combine with noodles.;5. Garnish with spring onions, boiled eggs, and chicharon.;6. Serve with calamansi.","['thick noodles','shrimp','squid','pork','shrimp sauce','atsuete oil','spring onions']"
Pancit Palabok,Filipino,6,30 mins,20 mins,50 mins,noodles,"Rice Noodles: 500g;Shrimp Sauce: 2 cups;Pork: 300g;Shrimp: 1 cup;Tofu: 200g;Chicharon: 1 cup;Hard-boiled Eggs: 4","1. Cook noodles, set aside.;2. Make sauce: sauté pork, add shrimp sauce and water.;3. Thicken with cornstarch.;4. Pour sauce over noodles.;5. Top with shrimp, tofu, chicharon, and eggs.;6. Garnish with spring onions.","['rice noodles','shrimp sauce','pork','shrimp','tofu','chicharon','hard-boiled eggs']"
Lumpiang Shanghai,Filipino,8,40 mins,20 mins,60 mins,spring rolls,"Ground Pork: 500g;Carrots: 2;Onion: 1;Garlic: 4 cloves;Spring Roll Wrappers: 50 pieces;Egg: 1;Oil: for frying","1. Mix pork, grated carrots, onion, garlic, and egg.;2. Wrap in spring roll wrappers.;3. Heat oil to medium-high.;4. Fry until golden brown.;5. Drain on paper towels.;6. Serve with sweet and sour sauce.","['ground pork','carrots','onion','garlic','spring roll wrappers','egg','oil']"
Lumpiang Sariwa,Filipino,6,30 mins,20 mins,50 mins,fresh spring rolls,"Jicama: 2 cups;Carrots: 2;Green Beans: 1 cup;Tofu: 200g;Lettuce Leaves: 12;Spring Roll Wrappers: 12;Garlic: 4 cloves","1. Sauté garlic and vegetables.;2. Add tofu and cook until tender.;3. Make peanut sauce.;4. Soften wrappers in water.;5. Wrap vegetables in lettuce then wrapper.;6. Serve with peanut sauce.","['jicama','carrots','green beans','tofu','lettuce leaves','spring roll wrappers','garlic']"
